"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41693558,134930968,1,20-SEP-20,2,"N",51,5,47,"F",1,2,"U","","",47,0
2020,41697352,134930968,2,20-SEP-20,2,"N",51,5,29,"F",1,2,"U","","",29,0
2020,41697412,134936113,1,08-DEC-20,1,"N",28,5,67,"M",2,2,"U","","",67,0
2020,41693688,134934576,1,31-MAR-20,2,"N",45,5,34,"M",1,2,"N","","",34,0
2020,41697566,134934580,1,13-JUN-20,1,"N",51,5,28,"M",2,2,"R","","",28,0
2020,41693723,134934589,1,14-JUN-20,2,"N",23,5,36,"F",1,2,"R","","",36,0
2020,41697838,134935304,1,21-NOV-20,1,"N",16,5,25,"F",2,2,"N","","",25,0
2020,41697895,134935420,1,27-MAR-20,2,"N",5,5,19,"F",1,2,"R","","",19,0
2020,41697905,134937493,1,14-NOV-20,1,"N",51,5,20,"M",2,2,"U","","",20,0
2020,41694007,134935572,1,17-MAY-20,1,"N",51,5,36,"M",2,2,"N","","",36,0
2020,41694000,134937668,1,19-SEP-20,1,"N",39,5,53,"M",1,3,"U","","",53,0
2020,41694025,134935621,1,20-OCT-20,3,"N",21,5,17,"F",2,2,"R","R","",17,0
2020,41694026,134935631,1,07-OCT-20,1,"N",5,5,28,"M",1,2,"R","","",28,0
2020,41698062,134935859,1,07-MAR-20,1,"N",35,5,52,"M",2,2,"R","","",52,0
2020,41701623,134952303,1,27-FEB-20,3,"N",51,5,40,"M",0,3,"N","","",40,0
2020,41701629,134952327,1,06-SEP-20,1,"N",47,5,38,"M",1,2,"R","","",38,0
2020,41701665,134952405,1,06-MAR-20,1,"N",16,5,23,"F",1,2,"N","","",23,0
2020,41701674,134952416,1,04-MAR-20,1,"N",16,5,33,"M",2,2,"N","","",33,0
2020,41701678,134956468,1,16-DEC-20,1,"N",5,5,30,"M",2,2,"R","","",30,0
2020,41706391,134952557,1,18-DEC-20,1,"N",28,5,57,"M",2,2,"N","","",57,0
2020,41701801,134956820,1,28-AUG-20,1,"N",16,5,31,"M",1,2,"N","","",31,0
2020,41701811,134956868,1,20-DEC-20,2,"N",45,5,43,"F",1,2,"R","","",43,0
2020,41701857,134956969,1,27-OCT-20,1,"N",23,5,38,"F",1,2,"N","","",38,0
2020,41706537,134952850,1,23-DEC-20,2,"N",16,5,31,"M",1,2,"R","","",31,0
2020,41701921,134952994,1,25-MAY-20,2,"N",23,5,49,"F",1,2,"R","","",49,0
2020,41706708,134957395,1,03-MAR-20,1,"N",51,5,19,"F",1,2,"R","","",19,0
2020,41702042,134957557,1,02-DEC-20,3,"M",49,5,39,"M",2,2,"R","","",39,0
2020,41707009,134953616,1,10-SEP-20,1,"N",27,5,34,"M",2,2,"R","","",34,0
2020,41702213,134958053,1,11-DEC-20,2,"N",45,5,37,"F",2,2,"N","","",37,0
2020,41707006,134953652,1,07-DEC-20,1,"N",45,5,35,"M",1,2,"N","","",35,0
2020,41702373,134953987,1,06-NOV-20,1,"N",16,5,15,"M",1,2,"R","R","",15,0
2020,41702420,134954109,1,11-SEP-20,1,"N",16,5,18,"M",2,2,"N","","",18,0
2020,41707322,134954173,1,28-NOV-20,2,"N",51,5,46,"F",1,2,"R","","",46,0
2020,41702520,134954323,1,27-OCT-20,3,"N",51,5,36,"M",2,2,"R","","",36,0
2020,41707480,134954446,1,13-DEC-20,2,"N",16,5,20,"M",2,2,"N","","",20,0
2020,41707570,134954598,1,13-DEC-20,2,"N",23,5,54,"F",2,2,"N","","",54,0
2020,41702697,134959478,1,17-JUL-20,2,"N",51,5,29,"M",1,2,"N","","",29,0
2020,41707707,134954810,1,18-JUL-20,1,"N",27,5,26,"F",1,2,"R","","",26,0
2020,41707693,134959574,1,30-NOV-20,3,"N",51,5,18,"M",2,2,"R","","",18,0
2020,41707805,134959795,1,29-OCT-20,1,"N",51,5,24,"M",1,2,"R","","",24,0
2020,41707849,134959851,1,08-DEC-20,2,"C",16,5,21,"M",4,2,"N","","",21,0
2020,41702873,134960044,1,06-NOV-20,1,"N",16,5,51,"F",1,2,"N","","",51,0
2020,41703025,134960672,1,02-APR-20,1,"C",16,5,23,"M",2,2,"R","","",23,0
2020,41708283,134956025,1,30-NOV-20,2,"N",45,5,13,"M",2,3,"R","R","",13,0
2020,41703203,134966229,1,14-JUN-20,3,"N",16,5,21,"M",2,2,"N","","",21,0
2020,41703225,134966296,1,21-JUN-20,3,"N",51,5,18,"M",2,2,"R","","",18,0
2020,41703294,134966556,1,09-DEC-20,1,"C",5,5,40,"M",2,2,"N","","",40,0
2020,41708555,134966646,1,30-APR-20,1,"N",39,5,19,"M",2,2,"N","","",19,0
2020,41703348,134961954,1,14-SEP-20,2,"N",23,5,22,"M",1,2,"R","","",22,0
2020,41703394,134966814,1,10-APR-20,3,"N",51,5,14,"M",2,3,"R","R","",14,0
2020,41708822,134962559,1,13-JAN-20,2,"N",51,5,47,"F",1,2,"R","","",47,0
2020,41709696,134964720,1,09-JUN-20,1,"N",16,5,35,"F",1,2,"R","","",35,0
2020,41709843,134968879,1,26-JUL-20,2,"N",16,5,57,"M",2,2,"R","","",57,0
2020,41704372,134969100,1,02-JUL-20,2,"N",16,5,33,"M",2,3,"R","","",33,0
2020,41709977,134969203,1,09-JUL-20,3,"N",16,5,22,"M",2,2,"N","","",22,0
2020,41704426,134969225,1,11-JUL-20,3,"N",16,5,22,"F",2,3,"N","","",22,0
2020,41709997,134969234,1,29-MAY-20,2,"N",44,5,22,"F",2,2,"N","","",22,0
2020,41709999,134969234,2,29-MAY-20,2,"N",44,5,24,"F",2,2,"N","","",24,0
2020,41710075,134965654,1,11-JUN-20,1,"N",16,5,25,"M",2,2,"N","","",25,0
2020,41704490,134965732,2,16-JUN-20,1,"N",16,5,33,"F",1,2,"R","","",33,0
2020,41710111,134969400,1,24-AUG-20,2,"C",45,5,13,"F",2,2,"R","R","",13,0
2020,41714516,134969426,1,28-JUL-20,1,"N",51,5,41,"M",2,3,"R","","",41,0
2020,41714659,134969823,1,20-AUG-20,3,"C",16,5,63,"F",1,2,"R","","",63,0
2020,41714737,134970061,1,15-FEB-20,2,"C",16,5,54,"F",2,2,"N","","",54,0
2020,41714753,134971666,1,14-AUG-20,3,"C",45,5,47,"M",2,2,"R","","",47,0
2020,41710492,134970107,1,18-AUG-20,1,"M",51,5,32,"F",2,2,"R","","",32,0
2020,41714745,134970134,7,12-APR-20,3,"C",39,5,46,"F",2,2,"N","","",46,0
2020,41714750,134970134,8,12-APR-20,3,"C",39,5,17,"M",2,2,"N","R","",17,0
2020,41714764,134970134,9,12-APR-20,3,"C",39,5,37,"F",2,2,"N","","",37,0
2020,41714813,134970255,1,06-SEP-20,1,"N",51,5,23,"M",2,2,"U","","",23,0
2020,41710592,134970284,1,25-FEB-20,1,"C",16,5,38,"M",1,,"R","","",38,0
2020,41710612,134972001,1,14-SEP-20,1,"N",51,5,30,"M",2,2,"R","","",30,0
2020,41714867,134970449,1,22-SEP-20,2,"N",23,5,37,"M",2,3,"R","","",37,0
2020,41714870,134970450,1,22-SEP-20,3,"N",27,5,21,"M",2,3,"R","","",21,0
2020,41710679,134970600,1,10-APR-20,2,"N",23,5,46,"M",2,2,"N","","",46,0
2020,41710691,134970695,1,12-AUG-20,1,"C",27,5,20,"M",2,2,"R","","",20,0
2020,41710804,134971059,1,07-AUG-20,1,"N",28,5,32,"M",1,2,"R","","",32,0
2020,41710830,134976131,1,07-AUG-20,1,"N",16,5,22,"M",1,2,"N","","",22,0
2020,41710851,134976201,1,05-JUL-20,1,"C",45,5,33,"M",1,2,"N","","",33,0
2020,41710853,134976201,2,05-JUL-20,1,"C",28,5,21,"M",1,2,"N","","",21,0
2020,41710871,134973093,1,19-JUL-20,3,"C",47,5,25,"M",1,2,"R","","",25,0
2020,41715127,134976474,1,22-DEC-20,1,"N",28,5,20,"M",2,2,"U","","",20,0
2020,41711004,134976626,1,11-AUG-20,2,"N",45,5,39,"M",1,2,"R","","",39,0
2020,41711033,134973563,1,17-NOV-20,1,"N",27,5,29,"F",2,2,"U","","",29,0
2020,41711057,134973651,2,17-SEP-20,2,"N",16,5,19,"F",1,2,"R","","",19,0
2020,41711056,134973651,1,17-SEP-20,3,"N",51,5,41,"M",2,2,"R","","",41,0
2020,41715283,134977011,1,22-OCT-20,1,"N",39,5,39,"M",1,3,"U","","",39,0
2020,41715534,134977783,4,29-AUG-20,2,"N",16,5,20,"M",2,2,"N","","",20,0
2020,41711443,134977783,1,29-AUG-20,2,"N",16,5,23,"M",2,2,"N","","",23,0
2020,41715533,134977783,3,29-AUG-20,2,"N",16,5,24,"M",2,2,"N","","",24,0
2020,41715532,134977783,2,29-AUG-20,3,"N",16,5,21,"M",2,2,"N","","",21,0
2020,41711461,134975026,1,01-MAY-20,1,"N",51,5,34,"M",2,2,"R","","",34,0
2020,41715554,134975060,4,04-NOV-20,1,"C",51,5,21,"M",2,2,"R","","",21,0
2020,41715556,134975060,6,04-NOV-20,1,"C",51,5,27,"M",2,2,"N","","",27,0
2020,41715550,134975060,2,04-NOV-20,1,"C",51,5,23,"M",2,2,"R","","",23,0
2020,41715551,134975060,3,04-NOV-20,1,"C",51,5,20,"M",2,2,"R","","",20,0
2020,41711462,134975060,1,04-NOV-20,1,"C",51,5,21,"M",2,2,"R","","",21,0
2020,41715555,134975060,5,04-NOV-20,1,"C",51,5,19,"M",2,2,"R","","",19,0
2020,41715618,134978059,1,24-AUG-20,1,"N",45,5,32,"M",1,2,"R","","",32,0
2020,41711565,134978104,1,05-DEC-20,1,"C",27,5,22,"F",2,2,"R","","",22,0
2020,41711734,134978600,1,18-SEP-20,2,"N",51,5,13,"M",2,2,"U","H","",13,0
2020,41711821,134978877,1,14-OCT-20,1,"C",51,5,35,"F",1,2,"R","","",35,0
2020,41715831,134978877,2,14-OCT-20,1,"C",51,5,27,"M",1,2,"R","","",27,0
2020,41717516,134990385,1,23-JUL-20,1,"N",16,5,28,"F",1,2,"R","","",28,0
2020,41717517,134990385,2,23-JUL-20,1,"N",16,5,36,"M",1,2,"R","","",36,0
2020,41714049,134990470,1,07-JUL-20,1,"C",49,5,20,"M",2,2,"N","","",20,0
2020,41714050,134990470,2,07-JUL-20,1,"C",49,5,17,"M",2,2,"R","R","",17,0
2020,41714052,134990470,3,07-JUL-20,1,"C",49,5,15,"M",2,2,"R","R","",15,0
2020,41717623,134990688,1,22-JUL-20,2,"C",27,5,28,"M",1,2,"R","","",28,0
2020,41714219,134990779,1,28-JUL-20,1,"C",16,5,22,"M",2,2,"R","","",22,0
2020,41827472,135418053,1,03-NOV-20,1,"N",16,5,53,"M",2,2,"U","","",53,0
2020,41827519,135421826,1,28-AUG-20,3,"N",49,5,34,"M",2,3,"U","","",34,0
2020,41827540,135418159,1,14-SEP-20,3,"N",45,5,30,"M",1,2,"R","","",30,0
2020,41831201,135422041,1,02-AUG-20,2,"N",16,5,22,"M",2,2,"R","","",22,0
2020,41831204,135418437,1,27-DEC-20,3,"N",23,5,21,"M",2,2,"R","","",21,0
2020,41827716,135422114,1,06-NOV-20,1,"N",16,5,42,"M",2,,"","","",42,0
2020,41827765,135418616,1,31-AUG-20,1,"N",8,5,37,"M",2,2,"R","","",37,0
2020,41831312,135418759,1,27-OCT-20,1,"N",11,5,39,"M",1,2,"U","","",39,0
2020,41831332,135422330,1,28-NOV-20,2,"N",23,5,25,"M",2,2,"R","","",25,0
2020,41692207,134920332,1,25-SEP-20,3,"N",16,5,25,"F",1,2,"R","","",25,0
2020,41692213,134920339,1,24-JUN-20,1,"C",16,5,21,"M",2,2,"U","","",21,0
2020,41695929,134926592,1,15-APR-20,2,"N",45,5,54,"M",1,2,"N","","",54,0
2020,41696063,134921048,1,12-MAR-20,2,"N",2,5,19,"M",2,2,"R","","",19,0
2020,41696141,134931273,1,24-JUN-20,3,"N",5,5,33,"M",2,3,"N","","",33,0
2020,41692578,134927483,1,07-JAN-20,2,"C",2,5,21,"F",2,2,"R","","",21,0
2020,41692584,134931415,1,25-AUG-20,2,"N",51,5,28,"M",1,2,"R","","",28,0
2020,41692632,134927694,1,03-NOV-20,1,"N",51,5,33,"M",1,2,"R","","",33,0
2020,41692659,134927772,1,21-FEB-20,3,"C",51,5,33,"M",2,2,"N","","",33,0
