"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,37514018,1,37831135
2020,37522929,1,37825810
2020,37514268,1,37831379
2020,37518543,1,37831380
2020,37523007,1,37831402
2020,37522288,1,37825167
2020,37522375,1,37825247
2020,37521903,1,37821956
2020,37512206,1,37819310
2020,37521887,1,37814785
2020,37512195,1,37819300
2020,37517100,1,37821944
2020,37521896,1,37814793
2020,37512242,1,37819346
2020,37512243,1,37819347
2020,37517160,1,37814838
2020,37512264,1,37819371
2020,37521986,1,37822077
2020,37517244,1,37822085
2020,37518589,1,37831449
2020,37518824,1,37823676
2020,37523393,1,37831901
2020,37518902,1,37823757
2020,37523437,1,37826331
2020,37524865,1,37823792
2020,37523548,1,37826444
2020,37524999,1,37826537
2020,37517122,1,37814809
2020,37521933,1,37814830
2020,37517173,1,37822016
2020,37517397,1,37819744
2020,37517461,1,37822300
2020,37512801,1,37819920
2020,37518460,1,37831248
2020,37522952,1,37823357
2020,37523057,1,37831469
2020,37523182,1,37831623
2020,37523227,1,37826100
2020,37518851,1,37823701
2020,37524753,1,37823719
2020,37522309,1,37825190
2020,37522310,1,37825191
2020,37513175,1,37830293
2020,37513174,1,37830292
2020,39176290,1,39406841
2020,37517703,1,37822550
2020,37513265,1,37830381
2020,37512772,1,37819894
2020,37517562,1,37830007
2020,37522321,1,37830131
2020,37517676,1,37822522
2020,42024199,1,42449594
2020,42024276,1,42449666
2020,37524840,1,37826341
2020,37524871,1,37831966
2020,37523477,1,37826376
2020,37523638,1,37826542
2020,37519111,1,37823960
2020,37512253,1,37819358
2020,37513659,1,37830771
2020,37522913,1,37823315
2020,37518496,1,37823346
2020,37524593,1,37823601
2020,37524746,1,37823712
2020,37518862,1,37831850
2020,37523360,1,37826257
2020,37513859,1,37830984
2020,37514103,1,37831220
2020,39176316,1,39406870
2020,39171646,1,39400891
2020,37521886,1,37814784
2020,37517103,1,37821949
2020,37517104,1,37819304
2020,37521904,1,37814798
2020,37512220,1,37821969
2020,37521936,1,37814833
2020,37308276,1,37620647
2020,37315524,1,37616176
2020,37308322,1,37620697
2020,37308429,1,37620804
2020,37315803,1,37616449
2020,37316749,1,37613655
2020,37319974,1,37622357
2020,37320015,1,37622404
2020,37313063,1,37622165
2020,37320139,1,37622533
2020,37320044,1,37622429
2020,37514289,7,37831405
2020,37518886,1,37823737
