"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,2,162489910
2020,9,162492867
2020,2,162492903
2020,6,162492903
2020,6,162492865
2020,6,162489964
2020,6,162492928
2020,9,162492965
2020,9,162492969
2020,1,162490022
2020,9,162493104
2020,9,162493146
2020,9,162490113
2020,6,162490218
2020,9,162490269
2020,9,162493374
2020,9,162493415
2020,9,162490321
2020,6,162493407
2020,9,162493332
2020,3,162493442
2020,9,162490369
2020,9,162493454
2020,9,162493482
2020,9,162493511
2020,6,162493525
2020,8,162493522
2020,6,162493522
2020,6,162490426
2020,6,162490424
2020,6,162493562
2020,6,162493560
2020,9,162493455
2020,6,162493600
2020,6,162493599
2020,9,162490453
2020,9,162493517
2020,6,162490483
2020,6,162493636
2020,9,162493650
2020,9,162490489
2020,9,162490501
2020,6,162490516
2020,9,162490556
2020,8,162493748
2020,3,162493733
2020,6,162490608
2020,9,162490603
2020,6,162490606
2020,6,162490595
2020,6,162490596
2020,9,162490640
2020,9,162493825
2020,9,162493817
2020,6,162491146
2020,9,162493880
2020,9,162494209
2020,9,162493885
2020,6,162490707
2020,9,162490702
2020,6,162490653
2020,6,162490652
2020,9,162493939
2020,6,162493940
2020,9,162490739
2020,9,162493944
2020,6,162490748
2020,6,162490750
2020,6,162493861
2020,9,162490777
2020,9,162494026
2020,9,162490788
2020,9,162494096
2020,9,162494110
2020,9,162494114
2020,9,162490841
2020,9,162494112
2020,6,162490876
2020,6,162494161
2020,9,162494165
2020,6,162490950
2020,6,162494214
2020,6,162491088
2020,6,162494382
2020,9,162494424
2020,6,162491131
2020,9,162491119
2020,9,162496192
2020,6,162494518
2020,6,162494633
2020,9,162494621
2020,9,148047734
2020,9,148051581
2020,9,148047742
2020,9,148051592
2020,6,162504547
2020,6,162504611
2020,9,162500186
2020,5,162500187
2020,9,162504641
2020,10,162500203
2020,6,162500225
2020,9,162504680
2020,9,162504750
2020,6,162500358
2020,6,162500357
2020,7,162505042
2020,6,162500654
2020,9,162505329
2020,6,162505423
2020,6,162500962
2020,6,162500961
2020,9,162501010
2020,6,162505752
2020,9,162501171
2020,6,162506191
2020,6,162506207
2020,6,162511330
2020,9,162506694
2020,9,162511529
2020,9,162511576
2020,9,162511703
2020,9,162512046
2020,6,162507331
2020,9,162512310
2020,9,162512442
2020,6,162507456
2020,6,162507455
2020,9,162512582
2020,6,162507630
2020,6,162512695
2020,9,162507641
2020,6,162507853
2020,6,162507854
2020,6,162507855
2020,6,162507893
2020,6,162507891
2020,9,162507920
2020,9,162507919
2020,6,162507938
2020,9,162513200
2020,9,162507993
2020,6,162513096
2020,3,162513095
2020,6,162513222
2020,9,162513234
2020,6,162513288
2020,9,162508065
2020,6,162508100
2020,9,162508181
2020,6,162508231
2020,6,162508230
2020,6,162513589
2020,9,162513598
2020,9,162508423
2020,9,162508409
2020,9,162513862
2020,9,162514035
2020,9,162514070
2020,9,162508642
2020,6,162514116
2020,9,162508715
2020,9,162508801
2020,9,162508811
2020,6,162514267
2020,6,162508827
2020,9,162514368
2020,6,162514212
2020,6,162508863
2020,9,162514432
2020,9,162508937
2020,9,162514474
2020,9,162514484
2020,9,162514440
2020,9,162508951
2020,9,162514540
2020,6,162509027
2020,6,162514570
2020,9,162514566
2020,6,162514577
2020,6,162514576
2020,9,162514596
2020,6,147377462
2020,9,147382195
2020,9,147377611
2020,6,147374328
2020,6,147382636
2020,6,147377952
2020,9,147375643
2020,3,148056102
2020,9,148057142
2020,9,162558354
2020,6,162554284
2020,6,162558390
2020,9,162558475
2020,9,162558586
2020,6,162558767
2020,6,147382308
2020,9,162558766
2020,9,162558789
2020,9,162558795
2020,9,162554955
2020,9,162554986
2020,9,162558830
2020,9,162554996
2020,9,162558811
2020,6,162558852
2020,6,162558853
2020,6,162555038
2020,6,162555030
2020,6,162555028
2020,9,162555053
2020,9,162555089
2020,6,162555131
2020,9,162555159
2020,9,162555156
2020,9,162555170
2020,9,162558954
2020,9,162555186
2020,9,162555197
2020,9,162558970
2020,6,162555241
2020,9,162555276
2020,9,162555291
2020,6,162555318
2020,6,162559071
2020,6,162555332
2020,9,162555365
2020,6,162559103
2020,5,162559103
2020,6,162559107
2020,6,162555380
2020,6,162555406
2020,9,162555459
2020,9,162555491
2020,9,162555522
2020,6,162555561
2020,9,162555574
2020,9,162559413
2020,6,162555879
2020,9,162559916
2020,6,147379744
2020,9,147385654
2020,6,148062080
2020,9,148057950
2020,6,148062634
2020,9,148058798
2020,9,148063994
2020,9,148067378
2020,9,148064521
2020,9,148067585
2020,9,148067610
2020,9,148059646
2020,9,148064779
2020,9,148059678
2020,9,148059763
2020,9,148059769
2020,9,148065182
2020,9,148060089
2020,9,148068823
2020,8,148069304
2020,9,148069470
2020,9,148069545
2020,6,146795966
2020,6,146795965
2020,6,147375461
2020,9,147376077
2020,9,147380176
2020,9,146795860
2020,9,146821548
2020,6,146795936
2020,6,147374167
2020,9,147375175
2020,6,147384257
2020,6,148249048
2020,9,148252584
2020,9,148051577
2020,9,148047771
2020,9,148057347
2020,9,148057409
2020,9,148057914
2020,9,148062399
2020,9,148058109
2020,6,148050952
2020,9,148058359
2020,6,148063258
2020,9,148063430
2020,9,148067367
2020,9,148064737
2020,9,148067972
2020,9,148059820
2020,8,148068099
2020,9,148068101
2020,9,148068228
2020,6,148060316
2020,1,148060433
2020,9,148069093
2020,6,148252454
2020,6,148249088
2020,6,148249236
2020,9,148258078
2020,6,148249440
2020,9,148258256
2020,9,148249494
2020,9,148061448
2020,6,148057573
2020,9,148066371
2020,9,148058539
2020,9,148058612
2020,9,162544168
2020,6,162548179
2020,9,162543575
2020,9,162543786
2020,9,162548575
2020,9,162543801
2020,9,162548674
2020,6,162549034
2020,6,162549030
2020,9,162544210
2020,9,162551992
2020,9,162556665
2020,9,162544218
2020,9,162544417
2020,3,162549492
2020,9,162549495
2020,6,162544503
2020,6,162549519
2020,9,162544531
2020,9,162544544
2020,9,162544624
2020,6,162544623
2020,9,162549676
2020,6,162544654
2020,9,162544712
2020,9,162544840
2020,9,162544915
2020,9,162544952
2020,9,162550105
2020,9,162550121
2020,6,162550147
2020,9,162550222
2020,6,162550276
2020,9,162550372
2020,9,162550410
2020,6,162550448
2020,6,162545361
2020,9,162550456
2020,9,162550479
2020,9,162550580
2020,9,162550683
2020,9,162545518
2020,9,162550737
2020,9,162550776
2020,9,162550772
2020,6,162550784
2020,9,162550793
2020,9,162550816
2020,6,162550817
2020,9,162550835
2020,6,162545677
2020,9,162545666
2020,9,162545733
2020,9,162545762
2020,9,162551017
2020,9,162551041
2020,9,162545778
2020,10,162545842
2020,6,162551135
2020,9,162551153
2020,6,162551192
2020,9,162551207
2020,9,162545950
2020,9,162545969
2020,9,162545998
2020,9,162545995
2020,9,162551348
2020,9,162546046
2020,9,162551374
2020,9,162551398
2020,9,162546098
2020,6,162551419
2020,9,162551420
2020,6,162551455
2020,6,162546115
2020,9,162546132
2020,6,162551483
2020,9,162551520
2020,9,162551516
2020,6,162551565
2020,6,162556209
2020,6,162551564
2020,6,162551583
2020,9,162556245
2020,6,162551600
2020,9,162551618
2020,6,162551653
2020,6,162556289
2020,6,162551664
2020,9,162551756
2020,8,162551800
2020,7,162551800
2020,6,162551800
2020,6,162551849
2020,6,162551848
2020,9,162556485
2020,9,162551882
2020,6,162556517
2020,6,162556541
2020,9,148069139
2020,9,148061111
2020,6,148069272
2020,9,148069400
2020,9,148065913
2020,9,148069488
2020,6,148258033
2020,6,148258034
2020,6,148258230
2020,6,148258231
2020,6,148047887
2020,6,148047886
2020,9,148047923
2020,6,148052690
2020,6,148052689
2020,9,148048550
2020,6,148053492
2020,6,148045465
2020,6,148045464
2020,9,148054337
2020,9,148049107
2020,9,148054434
2020,9,148054435
2020,9,148258651
2020,6,148051595
2020,6,148044058
2020,6,148044224
2020,9,148044466
2020,6,148052169
2020,9,148061539
2020,9,148049059
2020,9,148049169
2020,9,148050784
2020,9,148066492
2020,9,148057127
2020,6,148051089
2020,9,148051088
2020,9,148063421
2020,9,148059378
2020,9,148059576
2020,9,148068009
2020,9,148068036
2020,9,148065024
2020,9,148065216
2020,9,148065316
2020,9,148060268
2020,6,148068602
2020,9,148258898
2020,9,148249908
2020,9,148253193
2020,6,148258961
2020,9,148258980
2020,6,148258981
2020,6,148253246
2020,9,148253284
2020,6,148253294
2020,6,148253296
2020,6,148253301
2020,6,148252863
2020,6,148252917
2020,9,148253060
2020,6,148049681
2020,9,148049922
2020,9,148057469
2020,9,148050668
2020,9,148062421
2020,6,148058649
2020,9,148066876
2020,9,148063828
2020,6,148063897
2020,9,148063990
2020,9,148067182
2020,1,148067187
2020,9,148067249
2020,6,148064186
2020,6,148059178
2020,9,148064377
2020,6,148051616
2020,3,148051615
2020,9,148051656
2020,9,148051706
2020,6,148051708
2020,9,148044284
2020,6,148064576
2020,9,148059548
2020,9,148064707
2020,6,148065175
2020,6,148065174
2020,9,148065355
2020,9,148065536
2020,9,148060452
2020,9,148069120
2020,6,148061023
2020,9,148069302
2020,9,148069485
2020,9,148071448
2020,3,148057090
2020,9,148057180
2020,6,148049896
2020,9,148050156
2020,9,148061787
2020,9,148063249
2020,6,148058453
2020,6,148058923
2020,6,148063938
2020,6,162488174
2020,6,162485704
2020,6,162488228
2020,1,162485733
2020,9,162488301
2020,6,162488383
2020,9,162488413
2020,9,162486009
2020,9,148587070
2020,9,148574493
2020,6,148584602
2020,9,148584601
2020,9,162488558
2020,6,162491265
2020,9,148587097
2020,6,148584623
2020,9,148587143
2020,6,148587145
2020,9,162488748
2020,6,148587179
2020,6,148584640
2020,6,148584639
2020,9,162488789
2020,9,148584662
2020,9,148574565
2020,9,162488786
2020,6,148587300
2020,6,148574597
2020,9,162491463
2020,6,148574608
2020,6,148587335
2020,6,148574629
2020,9,148584723
2020,9,148584734
2020,6,148587383
2020,6,148587382
2020,9,162491515
2020,9,148574646
2020,6,148574647
2020,9,148587437
2020,6,148587446
2020,9,148584764
2020,6,148587499
2020,9,148587535
2020,6,162488755
2020,9,148574682
2020,6,148574684
2020,9,148574688
2020,6,148574690
2020,6,148574691
2020,9,148574692
2020,6,148584883
2020,6,148584884
2020,6,148574700
2020,9,148587730
2020,9,148574701
2020,6,148587740
2020,6,148587750
2020,6,148587749
2020,6,148584919
2020,6,162491454
2020,6,162488840
2020,3,162488768
2020,9,148574707
2020,6,162491403
2020,9,162488897
2020,9,162491651
2020,9,162491682
2020,9,148574723
2020,9,148574724
2020,6,148574726
2020,9,148574728
2020,6,148587903
2020,6,148587904
2020,6,148587905
2020,9,148574734
2020,9,162488951
2020,9,162491669
2020,9,162491701
2020,9,162488971
2020,6,162491483
2020,9,162489027
2020,9,162491775
2020,9,162491819
2020,8,162489013
2020,6,162489013
2020,6,162489012
2020,8,162491823
2020,6,162491823
2020,9,162491908
2020,9,162489099
2020,9,162491977
2020,6,162492026
2020,6,162489195
2020,6,162492011
2020,9,162489242
2020,9,162489250
2020,6,162492136
2020,6,162492135
2020,9,162492129
2020,9,162492165
2020,9,162492251
2020,9,162492261
2020,9,162489408
2020,3,162489253
2020,6,162492298
2020,6,162492299
2020,6,162492277
2020,6,162492275
2020,6,162492276
2020,9,162489500
2020,9,162489498
2020,9,162492149
2020,6,162492398
2020,6,162492397
2020,6,162492426
2020,8,162492452
2020,9,162492423
2020,9,162489557
2020,9,162489554
2020,6,162492489
2020,9,162492499
2020,6,162489665
2020,9,162489686
2020,9,162489704
2020,6,162492613
2020,6,162489714
2020,9,162492607
2020,6,162492654
2020,6,162489763
2020,6,162492682
2020,6,162492835
2020,9,162489898
2020,6,162492616
2020,6,162492615
2020,6,162492617
2020,9,148044473
2020,9,148048156
2020,6,148044659
2020,6,148044656
2020,6,148044657
2020,9,148048204
2020,6,148052896
2020,9,148061856
2020,6,148062591
2020,9,148062605
2020,9,148062948
2020,9,148066245
2020,9,148058486
2020,9,148063379
2020,9,148063633
2020,9,148063847
2020,6,148067231
2020,6,148067232
2020,9,148067674
2020,9,148067822
2020,9,148068179
2020,9,148068325
2020,6,148068381
2020,9,148068653
2020,9,148068706
2020,9,148069080
2020,6,148060996
2020,9,148071198
2020,9,153013443
2020,6,153013447
2020,6,153013445
2020,6,148252502
2020,6,148257604
2020,6,148248954
2020,9,148047807
2020,6,148048284
2020,6,148048353
2020,6,148044861
2020,9,148044112
2020,6,148061506
2020,6,148057876
2020,9,148062456
2020,9,148063151
2020,6,148063167
2020,6,148058398
2020,9,148066369
2020,9,148066970
2020,6,148258008
2020,6,148258125
2020,6,148258126
2020,6,148049318
2020,3,148056089
2020,3,148056090
2020,3,148056164
2020,9,148049929
2020,9,148050084
2020,6,148061735
2020,9,148050293
2020,9,148057784
2020,9,148057814
2020,9,148062444
2020,9,148058293
2020,6,148058570
2020,6,148058569
2020,6,148063394
2020,6,148066513
2020,9,148063672
2020,9,148066832
2020,6,148066901
2020,6,148063918
2020,9,148067098
