"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2020,153994879,127377424,16,"C",13,,""
2020,153994883,127377425,27,"C",20,,""
2020,162521655,134955881,5,"C",24,,""
2020,162518056,134960973,51,"C",20,,""
2020,162518058,134960973,5,"C",20,,""
2020,162521737,134955941,45,"C",20,,""
2020,162518181,134961111,46,"C",47,,""
2020,162521910,134956092,45,"C",20,,""
2020,162521934,134956098,8,"C",7,,""
2020,162518346,134956098,51,"C",7,,""
2020,162521978,134961247,45,"C",8,,""
2020,162522021,134966166,27,"C",20,,""
2020,162518452,134961297,35,"C",18,,""
2020,162518451,134961297,16,"C",18,,""
2020,162518525,134966222,23,"C",8,,""
2020,162518534,134961354,51,"C",20,,""
2020,162522128,134966270,5,"C",20,,""
2020,162518625,134961414,16,"C",20,,""
2020,162522132,134961414,27,"C",20,,""
2020,162522167,134961441,27,"C",20,,""
2020,162518708,134961495,49,"C",20,,"N"
2020,162518819,134966391,49,"C",20,,"N"
2020,162518820,134966391,5,"C",20,,""
2020,162518834,134966396,5,"C",20,,""
2020,162522333,134966465,5,"C",20,,""
2020,162518984,134961699,5,"C",20,,""
2020,162522346,134966507,56,"C",20,,""
2020,162522382,134966515,23,"C",8,,""
2020,162519050,134966524,49,"C",20,,"N"
2020,162519057,134961789,16,"C",18,,""
2020,162522452,134966559,27,"C",20,,""
2020,162522461,134966571,49,"C",20,,"N"
2020,162519148,134966580,45,"C",20,,""
2020,162522501,134966599,45,"C",8,,""
2020,162522531,134961911,32,"C",20,,""
2020,162519237,134966644,11,"C",2,,""
2020,162519400,134962039,16,"C",13,,""
2020,162519393,134962034,5,"C",20,,""
2020,162519495,134966777,16,"C",20,,""
2020,162519561,134962160,14,"C",20,,""
2020,162519602,134962186,45,"C",20,,""
2020,162522740,134966854,5,"C",14,,""
2020,162519625,134966860,5,"C",5,,""
2020,162519622,134966860,49,"C",5,,"F"
2020,162519637,134966869,45,"C",20,,""
2020,162519650,134962228,45,"C",20,,""
2020,162519666,134966888,51,"C",20,,""
2020,162519659,134962233,23,"C",8,,""
2020,162519460,134966921,45,"C",20,,""
2020,162522673,134966921,16,"C",11,,""
2020,162519459,134966921,49,"C",20,,"N"
2020,162519741,134966931,44,"C",46,,""
2020,162519661,134966935,49,"C",19,2,"F"
2020,162519707,134966935,5,"C",19,,""
2020,162519752,134962316,51,"C",14,,""
2020,162522884,134962354,23,"C",8,,""
2020,162522900,134962379,45,"C",13,,""
2020,162519905,134962416,14,"C",20,,""
2020,162522880,134967047,45,"C",12,,""
2020,162523018,134967088,20,"C",18,,""
2020,162523028,134967089,44,"C",20,,""
2020,162523044,134967137,21,"C",20,,""
2020,162520053,134962599,27,"C",20,,""
2020,162523063,134962599,5,"C",20,,""
2020,162523093,134962605,45,"C",2,,""
2020,153994889,127377433,45,"C",7,,""
2020,153994854,127377399,16,"C",13,,""
2020,153994862,127377409,49,"C",20,,"F"
2020,153994887,127377430,27,"C",20,,""
2020,162512313,134952235,16,"C",8,,""
2020,162512249,134956240,51,"C",41,,""
2020,162507398,134956257,5,"C",13,,""
2020,162507389,134952315,49,"C",20,,"N"
2020,162512534,134956381,27,"C",18,,""
2020,162507556,134952396,35,"C",13,,""
2020,162507555,134952396,16,"C",13,,""
2020,162507586,134956460,45,"C",18,,""
2020,162507596,134956501,21,"C",20,,""
2020,162507655,134956544,27,"C",25,,""
2020,162512756,134952485,16,"C",13,,""
2020,162507804,134956726,11,"C",20,,""
2020,162512972,134956737,27,"C",13,,""
2020,162513031,134956798,51,"C",25,,""
