"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,124780850,10,,,138570576
2020,124780850,11,10,,138570578
2020,124780860,20,100,,138573260
2020,124783676,26,260,,138576556
2020,124783676,4,1,,138581108
2020,124783676,27,75,,138576557
2020,124786215,31,500,,138581122
2020,124783680,20,115,,138581123
2020,124783749,63,20,,138576663
2020,124772686,63,6000,,138571071
2020,124772779,16,1,,138571234
2020,128742589,49,1,,143432595
2020,128742589,13,1,,143437536
2020,128754945,19,1,,143432793
2020,128754960,10,,,143437781
2020,128754960,11,25,,143432817
2020,136236574,63,118,,153011630
2020,136236589,11,1,,153011652
2020,136236589,10,,,153011651
2020,136242055,63,50,,153011674
2020,136242087,20,10,,153011715
2020,136236662,64,1,,153014956
2020,136242186,10,,,153011808
2020,136236775,63,400,,153011878
2020,136236775,25,150,,153011877
2020,136236773,38,450,,153011875
2020,136236857,6,72,,153015211
2020,136242345,6,72,15-NOV-20,153011965
2020,136242349,3,2,,153015214
2020,136236882,3,800,,153015241
2020,136236882,29,600,,153015242
2020,136242430,61,900,,153015303
2020,136237006,10,,,153012132
2020,136242610,2,42,,153015513
2020,136242621,7,130,,153015530
2020,136242621,63,70,,153015531
2020,136237093,36,1440,07-APR-20,153015566
2020,136242673,63,1000,,153012255
2020,136242688,24,1100,,153012265
2020,136242881,19,167,,153017377
2020,136242873,19,167,28-NOV-20,153015818
2020,136242906,3,1,12-OCT-20,153017393
2020,136237239,8,25,,153017407
2020,136237237,11,1,,153017398
2020,136237237,10,,,153017387
2020,136237253,63,150,,153017422
2020,136242924,25,20,07-OCT-20,153017419
2020,136242925,25,285,,153015862
2020,136242949,13,280,,153015886
2020,136242957,13,1,,153015898
2020,136237318,6,1,14-APR-20,153017492
2020,136242965,6,46,,153017493
2020,136242968,37,50000,16-APR-20,153015913
2020,136242969,37,50000,,153015914
2020,136243001,63,500,,153015947
2020,136242967,35,100,,153015910
2020,136243025,63,10500,,153015919
2020,136237324,63,10500,05-JAN-21,153015912
2020,136242967,16,30,,153015909
2020,136243021,11,1,,153015973
2020,136237352,13,350,,153015989
2020,136237387,63,900,,153016031
2020,136243193,63,1,,153016161
2020,136243207,20,1500,,153017687
2020,136243238,63,400,,153016203
2020,136243265,63,10000,,153016231
2020,136243291,20,40,,153016265
2020,136237548,63,1,,153016271
2020,136237567,25,1,,153016295
2020,136243319,36,560,,153016292
2020,136243318,36,560,09-APR-20,153016291
2020,136243338,29,1,,153016320
2020,136237617,3,150,,153016373
2020,136243365,9,0,,153017807
2020,136243365,19,250,,153016353
2020,136243404,38,90,,153016385
2020,136243432,25,1,,153017855
2020,136243457,28,25000,29-APR-20,153016452
2020,136243458,28,25000,,153016454
2020,136243454,67,1,,153017873
2020,136243460,7,50,,153016434
2020,136243460,8,30,,153016455
2020,136243460,16,300,,153016456
2020,136237656,63,1,,153017874
2020,136243492,7,55,,153017889
2020,136243537,17,900,,153016540
2020,136243554,35,1,,153016560
2020,124776525,13,450,,138573291
2020,124772520,29,200,,138570818
2020,124772542,63,1,,138570845
2020,124780929,19,9,22-JAN-20,138570749
2020,124780931,19,9,,138570751
2020,124777282,10,,,138571538
2020,124777368,16,300,,138561971
2020,124772941,16,300,19-JAN-20,138561970
2020,124777374,3,1,20-JAN-20,138571639
2020,124777376,3,6000,,138571641
2020,124777450,13,950,,138571718
2020,124781303,36,1000,,138573791
2020,124781303,17,250,,138573790
2020,124781303,7,1650,,138573789
2020,136219225,25,50,,152993136
2020,136219233,64,1100,,152993150
2020,136222267,10,,,152993121
2020,136219253,3,2,08-JUL-20,152993168
2020,136219255,20,250,,152997718
2020,136219255,3,2,,152997717
2020,136219225,20,800,,152993135
2020,136222318,63,950,,152997730
2020,136219186,63,1,,152997639
2020,136222302,11,101,,152997726
2020,136222302,10,,,152993175
2020,136222385,10,,,152997780
2020,136222385,11,1,,152997781
2020,136222376,63,599,30-OCT-20,152993269
2020,136219335,10,,,152993270
2020,136222388,63,599,,152993283
2020,136219335,11,1,,152997773
2020,136222422,19,20,,152993337
2020,136219414,36,20,,152997877
2020,136219426,64,2800,,152993406
2020,136219426,63,4000,,152993405
2020,136222349,54,549,,152997746
2020,136219440,47,0,,152997905
2020,136222503,47,0,07-APR-20,152993426
2020,136222532,3,1,,152993458
2020,136219466,3,1,24-OCT-20,152997947
2020,136222633,16,2500,,152993538
2020,136222644,63,2,,152998047
2020,136219554,19,1,,152993592
2020,136224713,42,1,,152993822
2020,136222920,63,350,,152993891
2020,136224815,19,145,,152998382
2020,136222995,3,1000,,152993997
2020,136223108,10,215,,152998471
2020,136223127,3,1000,21-APR-20,152994161
2020,136224978,63,100,,152998559
2020,136223245,63,5000,21-APR-20,152994286
2020,136223247,63,5000,,152994287
2020,136223330,63,394,,152994384
2020,136225135,63,1,,152998736
2020,136223505,63,40,,152994603
2020,136225258,20,240,,152994679
2020,136223837,3,30000,,152999116
2020,136225446,52,0,,152995008
2020,136246320,19,28,,153024772
2020,136249670,63,2200,,153020220
2020,136246333,63,54,,153020229
2020,136246361,63,100,,153020254
2020,136246381,19,137,,153024834
2020,136246344,63,45,,153024792
2020,136246400,10,,,153024856
2020,136239800,63,100,,153007206
2020,136249815,16,1,,153024964
2020,136249815,4,100,,153024963
2020,136249841,63,93,,153025011
2020,136246537,26,200,,153025000
2020,136246595,3,200,,153025090
2020,136249918,19,183,,153025107
2020,136246609,19,183,06-JUL-20,153020500
2020,136246600,17,8225,,153020489
2020,136249947,63,1,,153020531
2020,136249984,17,250,,153025172
2020,136249937,16,50,,153020527
2020,136249984,36,6000,,153020574
2020,136249984,63,5501,,153020576
2020,136249937,35,1,,153020528
2020,136249984,4,50,,153020529
2020,136249984,20,2700,,153020572
2020,136249984,13,2,,153020551
2020,136246701,68,39,,153025200
2020,136246725,10,,,153025246
2020,136246712,6,5,19-NOV-20,153020590
2020,136246713,6,5,,153025224
2020,136246713,26,100,,153025225
2020,136246712,26,100,19-NOV-20,153020592
2020,136246707,26,230,,153020587
2020,136246699,19,100,,153025210
2020,136246724,67,1,,153025244
2020,136250095,13,700,,153020705
2020,136250092,63,1,,153025353
2020,136250092,16,400,,153025352
2020,136250092,6,400,,153020703
2020,136250100,31,1,,153020710
2020,136246862,63,150,,153020744
2020,136246907,63,1,,153025442
2020,136250179,20,500,,153020803
2020,136234977,63,100,,153009666
2020,136234977,8,200,,153009665
2020,136246952,63,1,,153025506
2020,136246954,63,60,,153025490
2020,136246972,38,1,,153025525
2020,136240058,10,,,153009858
2020,136260955,8,131,16-DEC-20,153042551
2020,136258976,8,131,,153038757
2020,136260999,30,1,,153042604
2020,136263574,2,42,,153045681
2020,136267354,20,5000,,153047715
2020,136263752,63,50,,153045871
2020,136267637,10,,,153048045
2020,136263963,10,,,153046093
2020,136267718,26,2,,153048150
2020,136267774,63,159,,153048214
2020,136267771,63,159,27-DEC-20,153048208
2020,136267774,6,53,,153048211
2020,136267771,8,8,27-DEC-20,153046214
2020,136267771,6,53,27-DEC-20,153048203
2020,136267774,8,8,,153048213
2020,136267849,67,1,,153048301
2020,136267864,3,7000,,153048312
2020,136264163,20,1600,,153046316
2020,136264189,3,20000,,153048369
2020,136246972,63,530,,153025526
2020,136235160,63,50,,153009875
2020,136235166,63,500,,153009888
2020,136274884,4,200,,153050651
2020,136274880,4,200,31-JUL-20,153050649
2020,136235163,30,1,,153012548
2020,136274990,16,1,01-JAN-21,153053058
2020,136274992,16,1,,153050770
2020,136246972,13,350,,153020832
2020,136235163,63,1,,153012550
2020,136275050,16,2000,,153050833
2020,136275089,63,91603,,153050874
2020,136246983,16,800,,153025533
2020,136250232,63,400,,153020863
2020,136240083,19,2,,153012554
2020,136240087,20,2,,153009887
2020,136246995,7,100,,153020846
2020,136250220,3,8000,01-DEC-20,153020852
2020,136250233,9,0,,153020855
2020,136250233,25,40,,153020864
2020,136235212,19,400,,153012651
2020,136240185,63,20,,153012672
2020,136270863,38,8000,,153053313
2020,136240210,13,600,,153012698
2020,136235228,10,,,153012721
2020,136250233,63,900,,153020865
2020,136240237,10,,,153012738
2020,136240207,63,1,,153012695
2020,136235278,10,,,153010020
2020,136240290,63,195,,153012803
2020,136235297,63,195,09-SEP-20,153010043
2020,136250233,20,60,,153025562
2020,136250233,3,8000,,153020853
2020,136250295,63,290,,153020944
2020,136235364,38,1,,153010131
2020,136250297,10,,,153020947
2020,136250311,25,400,,153025662
2020,136235365,25,250,,153010127
2020,136250311,35,600,,153025663
2020,136240454,12,460,,153013000
2020,136235459,63,466,,153010264
2020,136240629,67,1,,153013190
2020,136240629,54,2817,,153010337
2020,136240601,54,2817,04-SEP-20,153010335
2020,136240613,29,1,,153013174
2020,136247118,10,,,153025693
2020,136250354,3,6000,,153021017
2020,136235542,63,1,,153013224
2020,136235553,61,25,,153010388
2020,136235601,13,380,,153013311
2020,136247143,19,18,16-AUG-20,153025727
2020,136247142,35,1,,153021009
2020,136235644,13,600,,153010492
2020,136235644,26,1,,153010493
2020,136240806,10,,,153010514
2020,136247144,19,18,,153025729
2020,136250367,10,,,153021038
2020,136247201,9,0,,153025800
2020,136247199,36,1,,153021059
2020,136247199,63,1,,153021060
2020,136250389,36,1,26-JUL-20,153021057
2020,136247198,11,1,,153025797
