"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,137199211,1,1,16523795
2020,12,137204709,3,1,16521354
2020,5,124782118,1,1,13901941
2020,12,124783259,5.6,1,13896487
2020,16,124790707,235,9,13886852
2020,5,124795274,1.5,1,13896677
2020,12,124779008,1,1,13901902
2020,5,124790422,7,1,13896501
2020,5,124784383,4.2,1,13896608
2020,5,124791684,1.8,1,13886927
2020,5,129532581,1,1,15005609
2020,12,137202653,1,3,16521243
2020,16,137198856,1,9,16523738
2020,5,124771812,1,1,13886263
2020,5,124772135,1,1,13886337
2020,12,124776356,3,1,13901354
2020,12,124781041,0.5,1,13896197
2020,12,124771818,2,1,13896049
2020,5,124780713,0.7,1,13896130
2020,5,124772262,1,1,13886360
2020,5,124776895,3,1,13901479
2020,2,124777137,0.1,1,13901541
2020,5,124777903,6.5,1,13901708
2020,2,124774173,81,1,13896374
2020,16,124783837,1,11,13896549
2020,5,124786407,87.8,1,13902128
2020,2,124790878,1.9,1,13886864
2020,1,124783978,3.3,1,13902138
2020,5,124786787,1,1,13902160
2020,12,124787159,1,11,13896629
2020,2,124774099,1,1,13886697
2020,5,124782968,0.2,1,13886783
2020,5,124785568,0.8,1,13886802
2020,1,124790253,1,1,13886807
2020,1,124790363,0.2,1,13886815
2020,5,124777246,1.7,1,13886475
2020,5,124777934,3.3,1,13901717
2020,5,124782692,2.3,1,13896439
2020,5,124785423,3.2,1,13886787
2020,12,124783173,2,1,13902048
2020,17,124790239,7,9,13896482
2020,5,124785986,1,1,13902079
2020,16,124786003,1,9,13902082
2020,17,124790759,,,13896545
2020,5,124786512,0.7,1,13896568
2020,4,124786732,1.6,1,13886873
2020,5,124786889,3,1,13902172
2020,5,124787385,2.1,1,13902219
2020,12,124243527,1,11,13808933
2020,5,124775881,32,1,13901254
2020,5,124772056,1.2,1,13886312
2020,16,124780798,1,9,13896150
2020,1,136235031,0.5,1,16341559
2020,16,136240047,10,9,16343731
2020,12,136239757,0.05,1,16343681
2020,5,136235269,1,1,16343753
2020,12,136240275,15,1,16343757
2020,12,136240368,4.4,1,16341626
2020,5,136240363,6.5,1,16341625
2020,12,136240679,7.6,1,16341674
2020,5,136241857,1,11,16343957
2020,5,136241885,1,11,16341851
2020,5,136242550,1,11,16341968
2020,5,136237171,20,1,16341997
2020,12,136237172,1,11,16344085
2020,5,136242813,1,11,16342001
