"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,134265896,122315730,1,4,,,,5,44,"M",1,2,"R",44,0
2020,134265917,122319194,1,4,,,,5,51,"F",2,2,"R",51,0
2020,134289818,122337456,2,8,,,,,,"",,,"",,
2020,134289816,122337456,1,4,,,,5,70,"F",1,2,"R",70,0
2020,134289993,122333191,1,4,,,,5,67,"M",1,2,"R",67,0
2020,134281335,122337752,1,4,,,,5,45,"F",2,2,"R",45,0
2020,134281366,122337780,1,4,,,,5,23,"F",1,2,"R",23,0
2020,134290281,122337950,1,8,,,,,,"",,,"",,
2020,134281615,122341908,1,8,,,,,,"",,,"",,
2020,134293159,122338466,1,4,,,,5,71,"F",1,2,"R",71,0
2020,134293178,122338483,1,4,,,,5,38,"F",2,2,"R",38,0
2020,134279356,122326008,1,4,,,,5,17,"M",2,1,"R",17,0
2020,149583166,136048364,1,4,,,,5,53,"M",1,3,"N",53,0
2020,149581932,136052636,1,4,,,,5,23,"F",1,,"",23,0
2020,149583312,136052682,1,4,,,,5,27,"F",2,2,"N",27,0
2020,149582008,136048517,2,4,,,,5,63,"M",1,3,"R",63,0
2020,149583409,136048571,1,8,,,,,,"",,,"",,
2020,149583445,136052740,1,8,,,,,,"",,,"",,
2020,149582090,136048637,1,4,,,,5,19,"F",2,2,"R",19,0
2020,149583593,136048734,1,4,,,,5,65,"M",1,3,"R",65,0
2020,149582168,136052827,1,1,,,,,,"",,,"",,
2020,149583615,136048750,1,8,,,,,,"",,,"",,
2020,149583647,136048778,1,4,,,,5,26,"M",2,2,"R",26,0
2020,149583655,136048784,1,4,,,,5,36,"M",2,2,"R",36,0
2020,134289398,122336958,1,4,,,,5,51,"F",2,2,"R",51,0
2020,134286928,122341303,1,6,,,,,,"",,,"",,
2020,134281085,122337531,1,4,,,,5,68,"M",2,2,"R",68,0
2020,134285763,122330177,1,1,,,,,,"",,,"",,
2020,134286131,122332573,1,1,,,,,,"",,,"",,
2020,134289322,122332612,1,4,,,,5,36,"F",1,2,"R",36,0
2020,134280424,122330667,1,4,,,,5,76,"F",1,2,"R",76,0
2020,134280534,122337062,1,4,,,,5,23,"M",2,2,"R",23,0
2020,134280729,122331053,1,4,,,,5,16,"F",2,2,"R",16,0
2020,134289808,122333041,1,4,,,,5,64,"M",1,3,"R",64,0
2020,134277563,122324377,1,4,,,,5,36,"F",1,3,"R",36,0
2020,134265947,122315776,1,8,,,,,,"",,,"",,
2020,134266151,122324484,1,4,,,,5,50,"F",1,2,"R",50,0
2020,134277719,122324518,1,1,,,,,,"",,,"",,
2020,134277763,122324557,1,1,,,,,,"",,,"",,
2020,134277789,122324580,1,4,,,,5,45,"F",2,2,"R",45,0
2020,134271126,122319599,1,4,,,,5,28,"F",1,2,"R",28,0
2020,134277925,122324701,1,4,,,,5,90,"M",2,2,"R",90,0
2020,134266660,122324724,1,4,,,,5,79,"M",1,2,"R",79,0
2020,134278043,122326600,1,4,,,,5,39,"F",1,2,"R",39,0
2020,134271454,122319909,1,4,,,,5,19,"F",2,2,"R",19,0
2020,134278163,122324931,1,4,,,,5,55,"F",1,2,"R",55,0
2020,134271762,122320194,1,3,,,,,,"",,,"",,
2020,134278430,122325183,1,4,,,,5,53,"M",1,2,"R",53,0
2020,134778701,122794914,1,1,,,,,,"",,,"",,
2020,134778711,122794926,1,1,,,,,,"",,,"",,
2020,134778735,122794947,1,4,,,,5,48,"F",1,2,"R",48,0
2020,134771633,122794970,2,9,,,,,,"",,,"",,
2020,134771632,122794970,1,4,,,,5,30,"M",1,2,"N",30,0
2020,134778779,122794991,1,4,,,,5,53,"M",1,2,"N",53,0
2020,134778790,122795001,1,4,,,,5,46,"M",2,2,"R",46,0
2020,134778795,122795007,1,4,,,,5,14,"M",2,2,"R",14,0
