"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,148355569,2,
2020,148352608,10,
2020,148358097,2,
2020,148359064,1,
2020,148359625,1,
2020,148359777,10,
2020,148357698,6,
2020,148359900,10,
2020,148363074,1,
2020,148361443,9,
2020,148361720,1,
2020,148361761,9,
2020,148368157,10,
2020,148368166,9,
2020,148368710,10,
2020,148368968,9,
2020,148365998,9,
2020,148368956,9,
2020,148369369,9,
2020,148369590,2,
2020,148367255,1,
2020,148370537,1,
2020,148367732,10,
2020,148371181,10,
2020,148372944,9,
2020,148371771,1,
2020,148372566,1,
2020,148372783,6,
2020,148357074,1,
2020,148359156,10,
2020,148359336,1,
2020,148357376,1,
2020,148357730,1,
2020,148360510,1,
2020,148369595,9,
2020,148366567,9,
2020,148369594,9,
2020,148367355,3,
2020,148371643,1,
2020,148374335,9,
2020,148374339,9,
2020,148378310,9,
2020,148378517,2,
2020,148375686,1,
2020,148379840,1,
2020,148380912,9,
2020,148382483,1,
2020,148383338,1,
2020,148388559,10,
2020,148389404,6,
2020,148390631,6,
2020,148385771,9,
2020,148392175,6,
2020,148392523,1,
2020,148387176,1,
2020,148393384,1,
2020,148398025,10,
2020,148395435,10,
2020,148403552,2,
2020,148403564,2,
2020,148404352,1,
2020,148404548,9,
2020,148401652,1,
2020,148404822,10,
2020,148405501,1,
2020,148409094,1,
2020,148409095,1,
2020,148413188,9,
2020,148413185,9,
2020,148414007,2,
2020,148410275,9,
2020,148414476,1,
2020,148415209,1,
2020,148415209,9,
2020,148415543,1,
2020,148412519,9,
2020,148416986,1,
2020,148416984,1,
2020,148417131,1,
2020,148417472,9,
2020,148423148,1,
2020,148366958,1,
2020,148358183,6,
2020,148366442,1,
2020,148363520,1,
2020,148358008,1,
2020,148356345,10,
2020,148358626,6,
2020,148359579,10,
2020,148357657,1,
2020,148357755,10,
2020,148361234,10,
2020,148915906,1,
2020,148355498,1,
2020,148352255,2,
2020,148355592,6,
2020,148352338,9,
2020,148352341,1,
2020,148355783,1,
2020,148352731,1,
2020,148352773,1,
2020,148356737,3,
2020,148356740,1,
2020,148358694,10,
2020,148356823,1,
2020,148358980,1,
2020,148359278,1,
2020,148357336,10,
2020,148359530,1,
2020,148359582,1,
2020,148359881,10,
2020,148357823,10,
2020,148357821,10,
2020,148360091,10,
2020,148360359,1,
2020,148360620,1,
2020,148363744,1,
2020,148361324,1,
2020,148363959,9,
2020,148361377,3,
2020,148361458,9,
2020,148368446,10,
2020,148365609,10,
2020,148371270,10,
2020,148373002,10,
2020,148367826,1,
2020,148371493,10,
2020,148372991,10,
2020,148372992,10,
2020,148371571,1,
2020,148373440,9,
2020,148372596,9,
2020,148373913,1,
2020,148374353,6,
2020,148379638,9,
2020,148375887,1,
2020,148380275,9,
2020,148381191,9,
2020,148381961,6,
2020,148377864,10,
2020,148383180,1,
2020,148383748,1,
2020,148389682,1,
2020,148389701,1,
2020,148389738,10,
2020,148389952,1,
2020,148390797,9,
2020,148385370,9,
2020,148391046,2,
2020,148392026,1,
2020,148386246,1,
2020,148386309,1,
2020,148392219,1,
2020,148392511,6,
2020,148393416,1,
2020,148387243,10,
2020,148393504,1,
2020,148393603,1,
2020,148393601,1,
2020,148394257,10,
2020,148394266,10,
2020,148394250,10,
2020,148394283,10,
2020,148394268,10,
2020,148394312,10,
2020,148394313,10,
2020,148394321,10,
2020,148394355,1,
2020,148394365,1,
2020,148394365,9,
2020,148397961,10,
2020,148398181,1,
2020,148395089,2,
2020,148398538,1,
2020,148395547,1,
2020,148395655,6,
2020,148396887,10,
2020,148397407,10,
2020,148397411,9,
2020,148397363,10,
2020,148397412,9,
2020,148400312,1,
2020,148400333,10,
2020,148403134,10,
2020,148400619,1,
2020,148404397,1,
2020,148404454,1,
2020,148405539,10,
2020,148405796,6,
2020,148405871,1,
2020,148406080,1,
2020,148408013,10,
2020,148408023,1,
2020,148408052,1,
2020,148406273,1,
2020,148406322,1,
2020,148406389,1,
2020,148408205,1,
2020,148408242,3,
2020,148408286,1,
2020,148406500,9,
2020,148406526,6,
2020,148406855,1,
2020,148408724,10,
2020,148407291,9,
2020,148408926,1,
2020,148409086,10,
2020,148409614,10,
2020,148413465,9,
2020,148410729,9,
2020,148414798,9,
2020,148414930,9,
2020,148415245,10,
2020,148415401,10,
2020,148415479,6,
2020,148415652,2,
2020,148415657,2,
2020,148411527,2,
2020,148415706,2,
2020,148411548,2,
2020,148411573,2,
2020,148411590,1,
2020,148411611,1,
2020,148415828,10,
2020,148411832,1,
2020,148411852,9,
2020,148416064,10,
2020,148416160,10,
2020,148416461,10,
2020,148358522,1,
2020,148358559,1,
2020,148358839,10,
2020,148359325,1,
2020,148359642,10,
2020,148363249,1,
2020,148361704,1,
2020,148368741,9,
2020,148366547,1,
2020,148370492,2,
2020,148370647,1,
2020,148367394,1,
2020,148371194,10,
2020,148371860,1,
2020,148371831,1,
2020,148378510,10,
2020,148380767,10,
2020,148381760,1,
2020,148381761,1,
2020,148383360,9,
2020,148389870,1,
2020,148389870,9,
2020,148392555,1,
2020,148392546,1,
2020,148393715,6,
2020,148398191,10,
2020,148394917,9,
2020,148395364,1,
2020,148398912,10,
2020,148396951,2,
2020,148397273,6,
2020,148401404,1,
2020,148405411,1,
2020,148402794,10,
2020,148406571,1,
2020,148406575,1,
2020,148406679,1,
2020,148406876,10,
2020,148408831,6,
