"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,148915964,153898243,3,49263020
2020,148916735,153905772,19,49263186
2020,148915846,153898165,18,49262990
2020,148915846,153904812,18,49262991
2020,148355446,153338030,16,49011117
2020,148355445,153338030,16,49011116
2020,148352307,153333017,1,49011145
2020,148355590,153338282,13,49011150
2020,148352344,153338295,1,49019184
2020,148352344,153333056,1,49011157
2020,148355623,153333056,1,49019188
2020,148355623,153338295,1,49011159
2020,148352546,153333284,24,49011198
2020,148352548,153333286,24,49019247
2020,148352548,153333284,24,49019246
2020,148352546,153333286,24,49011199
2020,148352574,153333318,18,49019255
2020,148352575,153333318,18,49019256
2020,148352577,153333318,18,49011204
2020,148352579,153333318,18,49011205
2020,148355858,153333318,18,49011206
2020,148352573,153333318,18,49019254
2020,148352775,153338763,3,49019305
2020,148352785,153333409,15,49019308
2020,148352831,153333614,18,49019322
2020,148352831,153333600,18,49019321
2020,148352831,153333589,18,49011257
2020,148352831,153338806,18,49011261
2020,148356331,153333861,9,49011314
2020,148358392,153339367,16,49021369
2020,148356568,153339367,5,49019434
2020,148358370,153339367,3,49021367
2020,148356791,153339668,18,49019498
2020,148357081,153334646,18,49021495
2020,148357083,153339962,3,49019611
2020,148357176,153334762,5,49021522
2020,148357177,153340077,18,49021523
2020,148357411,153340335,25,49019722
2020,148357411,153340332,21,49019720
2020,148357412,153340335,21,49019723
2020,148357412,153340332,25,49021601
2020,148359923,153345383,1,49019912
2020,148360079,153341118,16,49021778
2020,148362934,153341111,3,49019958
2020,148360481,153341524,16,49020092
2020,148360559,153341612,14,49020122
2020,148360801,153341895,1,49021953
2020,148363994,153342517,5,49022083
2020,148364510,153343165,1,49022301
2020,148364510,153343164,1,49020601
2020,148364851,153343629,1,49022448
2020,148362540,153343635,18,49020820
2020,148362610,153343725,18,49020852
2020,148362609,153343725,18,49020851
2020,148365218,153347845,3,49022615
2020,148368169,153347937,16,49022671
2020,148368169,153347938,16,49021066
2020,148368169,153347936,16,49021055
2020,148365441,153348087,18,49022745
2020,148368870,153350027,21,49026376
2020,148365892,153344922,1,49026363
2020,148365893,153344922,1,49022896
2020,148369495,153350650,18,49026594
2020,148369667,153349186,3,49026664
2020,148366618,153350825,3,49026634
2020,148367201,153349791,18,49026965
2020,148367201,153349792,6,49026966
2020,148367203,153349791,6,49023375
2020,148367203,153349792,18,49023377
2020,148370661,153349943,18,49027044
2020,148372986,153355586,1,49023687
2020,148373508,153356132,16,49023892
2020,148373638,153356206,18,49023933
2020,148372476,153356326,1,49027719
2020,148372643,153356441,15,49024004
2020,148373836,153353778,3,49027771
