"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,8550313,7248,1,2020,"U",,"Y","G","C","2020_01_LA0270000_NIBRS",,0
2020,8514354,7248,2,2020,"U",,"Y","G","C","2020_02_LA0270000_NIBRS",,0
2020,8564049,7248,3,2020,"U",,"Y","G","C","2020_03_LA0270000_NIBRS",,0
2020,8514404,7248,4,2020,"U",,"Y","G","C","2020_04_LA0270000_NIBRS",,0
2020,8557338,7248,5,2020,"U",,"Y","G","C","2020_05_LA0270000_NIBRS",,0
2020,8490416,7248,6,2020,"U",,"Y","G","C","2020_06_LA0270000_NIBRS",,0
2020,8562179,7248,7,2020,"U",,"Y","G","C","2020_07_LA0270000_NIBRS",,0
2020,8495578,7248,8,2020,"U",,"Y","G","C","2020_08_LA0270000_NIBRS",,0
2020,8481203,7248,9,2020,"U",,"Y","G","C","2020_09_LA0270000_NIBRS",,0
2020,8539322,7248,10,2020,"U",,"Y","G","C","2020_10_LA0270000_NIBRS",,0
2020,8549711,7248,11,2020,"U",,"Y","G","C","2020_11_LA0270000_NIBRS",,0
2020,8549751,7248,12,2020,"U",,"Y","G","C","2020_12_LA0270000_NIBRS",,0
2020,17949162,7399,7,2020,"I",19-FEB-21,"Y","F","C","2020_07_LA0610000_NIBRS",95871836,0
2020,17949574,7399,8,2020,"I",19-FEB-21,"Y","F","C","2020_08_LA0610000_NIBRS",95871904,0
2020,17948572,7399,10,2020,"I",19-FEB-21,"Y","F","C","2020_10_LA0610000_NIBRS",95871170,0
2020,17948569,7399,11,2020,"I",19-FEB-21,"Y","F","C","2020_11_LA0610000_NIBRS",95866600,0
2020,17948571,7399,12,2020,"I",19-FEB-21,"Y","F","C","2020_12_LA0610000_NIBRS",95871090,0
2020,8555985,7203,1,2020,"I",,"Y","G","C","2020_01_LA0170100_NIBRS",95845561,0
2020,8497883,7203,2,2020,"I",,"Y","G","C","2020_02_LA0170100_NIBRS",95839352,0
2020,8492550,7203,3,2020,"I",,"Y","G","C","2020_03_LA0170100_NIBRS",95844833,0
2020,8485756,7203,4,2020,"I",,"Y","G","C","2020_04_LA0170100_NIBRS",95839302,0
2020,8537277,7203,5,2020,"I",,"Y","G","C","2020_05_LA0170100_NIBRS",95839980,0
2020,8537303,7203,6,2020,"I",,"Y","G","C","2020_06_LA0170100_NIBRS",95845623,0
2020,8485826,7203,7,2020,"I",,"Y","G","C","2020_07_LA0170100_NIBRS",95844868,0
2020,8561463,7203,8,2020,"I",,"Y","G","C","2020_08_LA0170100_NIBRS",95845663,0
2020,8513955,7203,9,2020,"I",,"Y","G","C","2020_09_LA0170100_NIBRS",95839426,0
2020,8512161,7203,10,2020,"I",,"Y","G","C","2020_10_LA0170100_NIBRS",95839588,0
2020,8512185,7203,11,2020,"I",,"Y","G","C","2020_11_LA0170100_NIBRS",95839761,0
2020,8538195,7203,12,2020,"I",,"Y","G","C","2020_12_LA0170100_NIBRS",95839491,0
2020,8511411,7264,1,2020,"I",,"Y","G","C","2020_01_LA0290500_NIBRS",70271189,0
2020,8550743,7264,2,2020,"I",,"Y","G","C","2020_02_LA0290500_NIBRS",70618965,0
2020,8562493,7264,3,2020,"I",,"Y","G","C","2020_03_LA0290500_NIBRS",95792375,0
2020,8557728,7264,4,2020,"I",,"Y","G","C","2020_04_LA0290500_NIBRS",95791593,0
2020,8526836,7264,5,2020,"I",,"Y","G","C","2020_05_LA0290500_NIBRS",95791513,0
2020,8568102,7264,6,2020,"I",,"Y","G","C","2020_06_LA0290500_NIBRS",95791102,0
2020,8485649,7264,7,2020,"I",,"Y","G","C","2020_07_LA0290500_NIBRS",95791226,0
2020,8513088,7264,8,2020,"I",,"Y","G","C","2020_08_LA0290500_NIBRS",95792577,0
2020,8539511,7264,9,2020,"I",,"Y","G","C","2020_09_LA0290500_NIBRS",95796952,0
2020,8522352,7264,10,2020,"I",,"Y","G","C","2020_10_LA0290500_NIBRS",95792653,0
2020,8501788,7264,11,2020,"I",,"Y","G","C","2020_11_LA0290500_NIBRS",95791390,0
2020,8519003,7264,12,2020,"I",,"Y","G","C","2020_12_LA0290500_NIBRS",95792968,0
2020,17949610,7232,8,2020,"I",19-FEB-21,"Y","F","C","2020_08_LA0240000_NIBRS",95882761,0
2020,17949611,7232,9,2020,"I",19-FEB-21,"Y","F","C","2020_09_LA0240000_NIBRS",95882739,0
2020,17949612,7232,10,2020,"I",19-FEB-21,"Y","F","C","2020_10_LA0240000_NIBRS",95886867,0
2020,18123324,7232,11,2020,"I",04-MAR-21,"Y","F","C","2020_11_LA0240000_NIBRS",96767274,0
2020,18275117,7232,12,2020,"I",15-MAR-21,"Y","F","C","2020_12_LA0240000_NIBRS",97824534,0
2020,8515959,7283,1,2020,"I",,"Y","G","C","2020_01_LA0340000_NIBRS",95820177,0
2020,8491911,7283,2,2020,"I",,"Y","G","C","2020_02_LA0340000_NIBRS",95816500,0
2020,8500697,7283,3,2020,"I",,"Y","G","C","2020_03_LA0340000_NIBRS",95822253,0
2020,8562103,7283,4,2020,"I",,"Y","G","C","2020_04_LA0340000_NIBRS",95816047,0
2020,8531775,7283,5,2020,"I",,"Y","G","C","2020_05_LA0340000_NIBRS",95819316,0
2020,8553818,7283,6,2020,"I",,"Y","G","C","2020_06_LA0340000_NIBRS",95819512,0
2020,8526457,7283,7,2020,"I",,"Y","G","C","2020_07_LA0340000_NIBRS",95816185,0
2020,8553866,7283,8,2020,"I",,"Y","G","C","2020_08_LA0340000_NIBRS",95820130,0
2020,8534295,7283,9,2020,"I",,"Y","G","C","2020_09_LA0340000_NIBRS",95819397,0
2020,8515312,7283,10,2020,"I",,"Y","G","C","2020_10_LA0340000_NIBRS",95819690,0
