"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
71362020,7136,2020,"LA0010000","LA0010000","","N","N",,"I","ACADIA","ACADIA CO SO CROWLEY","Acadia","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",36286,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-02,01-SEP-06,01-SEP-06,,,,"N","ACADIA","Lafayette, LA","Y","Y","Y"
71382020,7138,2020,"LA0010200","LA0010200","","N","N",,"I","RAYNE","RAYNE PD","Rayne","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",7997,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",19,0,19,4,1,5,0,0,01-JAN-02,01-SEP-20,01-SEP-20,,,,"N","ACADIA","Lafayette, LA","Y","Y","Y"
71392020,7139,2020,"LA0010300","LA0010300","","N","N",,"I","CHURCH POINT","CHURCH POINT PD","Church Point","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",4336,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",9,0,9,7,0,7,0,0,01-JAN-02,01-APR-20,01-APR-20,,,,"N","ACADIA","Lafayette, LA","Y","Y","Y"
71462020,7146,2020,"LA0030000","LA0030000","","N","N",,"I","ASCENSION","ASCENSION CO SO DONALDSONVILLE","Ascension","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",117322,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",218,20,238,47,65,112,0,0,01-JAN-02,01-JAN-03,01-JAN-03,,,,"N","ASCENSION","Baton Rouge, LA","Y","Y","Y"
71482020,7148,2020,"LA0030200","LA0030200","","N","N",,"I","GONZALES","GONZALES PD","Gonzales","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",11092,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",41,0,41,2,5,7,0,0,01-JAN-02,01-JAN-11,01-JAN-11,,,,"N","ASCENSION","Baton Rouge, LA","Y","Y","Y"
71612020,7161,2020,"LA0070000","LA0070000","","N","N",,"I","BIENVILLE","BIENVILLE CO SO ARCADIA","Bienville","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",11724,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-02,01-JAN-20,01-JAN-20,,,,"N","BIENVILLE","Non-MSA","Y","Y","Y"
71652020,7165,2020,"LA0080000","LA0080000","","N","N",,"I","BOSSIER","BOSSIER CO SO BENTON","Bossier","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",49964,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",278,27,305,43,55,98,0,0,01-JAN-02,01-JAN-04,01-JAN-04,,,,"N","BOSSIER","Shreveport-Bossier City, LA","Y","Y","Y"
71662020,7166,2020,"LA0080100","LA0080100","","N","N",,"I","BOSSIER CITY","BOSSIER CITY PD","Bossier City","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","City",68869,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",148,3,151,13,36,49,0,0,01-JAN-02,01-OCT-19,01-OCT-19,,,,"N","BOSSIER","Shreveport-Bossier City, LA","Y","Y","Y"
71682020,7168,2020,"LA0080500","LA0080500","","N","N",,"I","LA ST U: HSC, SHREVEPORT","LA STATE UNIV MED CTR PD SHREVEPORT","Louisiana State University:","Health Sciences Center, Shreveport","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","University or College",0,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-02,01-JUN-20,01-JUN-20,,,,"N","BOSSIER","Shreveport-Bossier City, LA","Y","Y","Y"
71712020,7171,2020,"LA0090000","LA0090000","","N","N",,"I","CADDO","CADDO CO SO SHREVEPORT","Caddo","","A",22,"Louisiana","LA","LA","7","West South Central","3","South","Region III","County",47189,23370,"LAUCR0001","Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",282,45,327,84,178,262,0,0,01-JAN-02,01-JAN-04,01-JAN-04,,,,"N","CADDO","Shreveport-Bossier City, LA","Y","Y","Y"
