data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,12,162881513,2.640,1,14714242
2022,5,153787311,33.800,1,13456916
2022,4,153787298,6.600,1,13456911
2022,5,153787560,1.000,1,13456954
2022,13,158682229,4.000,9,14155040
2022,5,160971871,2.100,1,14468726
2022,5,162881528,22.900,1,14714246
2022,5,159823212,0.500,5,14309718
2022,12,153787466,1.000,1,13456931
2022,8,164371484,14.000,1,14922353
2022,5,160971817,2.000,1,14468716
2022,5,166042067,8.700,1,15156815
2022,12,162881548,3.900,1,14714250
2022,12,162881549,7.500,1,14714251
2022,4,162881298,0.500,1,14714179
2022,5,150430857,7.900,1,12942297
2022,12,150430858,3.230,1,12942298
2022,16,150430890,26.000,9,12942302
2022,12,164371517,3.250,1,14922368
2022,12,160971714,3046.000,1,14468689
2022,12,150742897,120.000,1,12989592
2022,12,164371492,0.980,1,14922357
2022,5,164371503,1.500,1,14922363
2022,5,150456021,1.000,1,12946148
2022,5,150554490,1.000,1,12957996
2022,12,153326305,1.000,9,13391316
2022,12,162881531,12.860,1,14714247
2022,12,164371602,1.760,1,14922402
2022,12,159823124,3.850,1,14309672
2022,8,164371527,5.000,9,14922373
2022,15,166042076,13.000,9,15156819
2022,4,162881350,1.540,1,14714199
2022,4,162881285,0.350,1,14714173
2022,4,162881199,0.240,1,14714150
2022,12,159823220,3.870,1,14309721
2022,5,166042193,1.020,1,15156881
2022,5,166042257,3.300,1,15156914
2022,5,150334196,3.000,1,12929073
2022,12,160971805,233.000,1,14468713
2022,5,150334191,21.000,1,12929072
2022,8,162881294,5.000,9,14714177
2022,17,150334189,4.000,9,12929071
2022,5,150334212,1.000,1,12929075
2022,5,150334226,5.000,1,12929080
2022,17,150334210,8.000,9,12929074
2022,8,160971869,5.000,9,14468725
2022,12,164371633,0.540,1,14922415
2022,8,162881305,1.330,1,14714182
2022,12,159823197,2.360,1,14309708
2022,12,152541604,2.310,1,13266306
2022,12,162881414,14.760,1,14714212
2022,12,162881501,3.420,1,14714235
2022,8,153787620,72.000,9,13456961
2022,8,153787303,2.000,9,13456913
2022,5,162881454,30.000,1,14714224
2022,12,159823173,3.970,1,14309694
2022,12,159823210,3.930,1,14309717
2022,4,153787386,0.400,1,13456925
2022,12,159823069,23.290,1,14309656
2022,1,155945564,1.470,1,13773269
2022,12,159823200,4.440,1,14309710
2022,16,162881295,2.000,9,14714178
2022,12,159823175,3.400,1,14309695
2022,5,164371491,1.560,1,14922356
2022,8,155945537,2.000,9,13773260
2022,5,160971767,6.000,1,14468704
2022,5,166042271,11.550,1,15156921
2022,5,150334225,25.000,1,12929079
2022,5,150334219,27.000,1,12929078
2022,5,150334213,81.000,1,12929076
2022,13,159823169,2.000,9,14309691
2022,12,162881498,32.000,1,14714234
2022,12,166042091,6.000,1,15156827
2022,5,150334215,8.000,1,12929077
2022,5,150663770,10.000,1,12976286
2022,5,150663774,4.000,1,12976287
2022,17,150663777,1.000,9,12976288
2022,5,151554892,7.000,1,13112796
2022,5,151554897,25.000,1,13112800
2022,5,151554908,4.000,1,13112804
2022,12,151554894,1.000,1,13112798
2022,5,151554893,54.000,1,13112797
2022,5,151554903,8.000,1,13112801
2022,12,151554907,3.000,1,13112803
2022,5,151554904,6.000,1,13112802
2022,5,151554895,1.000,1,13112799
2022,5,152583332,4.000,1,13272360
2022,5,152583329,15.000,1,13272357
2022,5,152583330,1.000,1,13272358
2022,5,152583326,9.000,1,13272355
2022,12,152583331,1.000,1,13272359
2022,12,152583333,1.000,1,13272361
2022,17,152583325,60.000,9,13272354
2022,5,152583310,1.000,1,13272352
2022,5,152583321,1.000,1,13272353
2022,17,152583327,2.000,9,13272356
2022,13,153787630,2.000,9,13456965
2022,12,166042275,4.500,1,15156922
2022,5,162881222,11.000,1,14714157
2022,5,153780574,5.000,1,13456179
2022,5,153780602,4.000,1,13456182
2022,12,166042092,6.700,1,15156828
2022,5,158682151,1.600,1,14155017
2022,5,153780629,27.000,1,13456184
2022,5,162881187,8.700,1,14714146
2022,5,153780615,1.000,9,13456183
2022,11,162881390,5.000,9,14714205
2022,5,153780590,13.000,1,13456181
2022,5,153780583,5.000,1,13456180
2022,12,155945538,0.890,1,13773261
2022,5,162881433,669.000,1,14714220
2022,4,155945600,2.000,1,13773274
2022,5,160971687,1.208,4,14468685
2022,5,155945630,18.410,1,13773279
2022,12,162881228,1.370,1,14714158
2022,4,159823094,1.220,1,14309663
2022,8,162881212,15.000,9,14714154
2022,12,162881401,3.790,1,14714208
2022,5,155104650,3.000,1,13653933
2022,1,166042122,1.150,1,15156842
2022,5,155104664,3.000,1,13653937
2022,16,155945519,1.000,9,13773258
2022,5,155104660,76.000,1,13653936
2022,12,159823229,7.440,1,14309725
2022,12,162881253,28.270,1,14714164
2022,5,162881219,28.870,1,14714156
2022,5,155104648,1.000,1,13653932
2022,12,159823145,14.660,1,14309680
2022,5,155104667,6.000,1,13653939
2022,8,158682168,2.000,9,14155023
2022,5,155104656,1.000,1,13653935
2022,4,162881259,0.740,1,14714165
2022,5,155104646,1.000,1,13653930
2022,5,157410833,33.000,1,13980942
2022,12,162881399,14.340,1,14714207
2022,12,155104647,1.000,1,13653931
2022,5,155104665,15.000,1,13653938
2022,5,155104653,11.000,1,13653934
2022,17,156362479,51.000,9,13830526
2022,5,156362486,22.000,1,13830528
2022,17,156362469,211.000,9,13830522
2022,5,156362465,1.000,9,13830520
2022,12,156362478,1.000,1,13830525
2022,5,156362470,10.000,1,13830523
2022,5,156362485,9.000,1,13830527
2022,5,156362467,8.000,1,13830521
2022,12,156362477,5.000,1,13830524
2022,5,158618285,1.000,9,14146617
2022,5,158618298,2.000,9,14146621
2022,17,158618300,3.000,9,14146622
2022,12,158618287,1.000,1,14146619
2022,5,158618284,2.000,1,14146616
2022,5,158618286,30.000,1,14146618
2022,5,158618291,54.000,1,14146620
2022,5,158618305,1.000,1,14146624
2022,5,158618315,13.000,1,14146628
2022,5,158618311,5.000,1,14146627
2022,2,158618304,2.000,1,14146623
2022,5,158618306,2.000,1,14146625
2022,5,158618308,1.000,9,14146626
2022,5,159723164,2.000,1,14295321
2022,5,159723155,3.000,1,14295319
2022,5,159723166,8.000,1,14295322
2022,5,159723171,6.000,1,14295324
2022,5,159723170,10.000,1,14295323
2022,12,159723159,2.000,9,14295320
2022,12,162881240,1.360,1,14714160
2022,12,162881214,691.000,1,14714155
2022,4,162881318,2.070,1,14714187
2022,15,160971786,1.000,11,14468709
2022,12,164371498,1.480,1,14922361
2022,1,164371496,0.690,1,14922359
2022,12,162881336,0.570,1,14714194
2022,12,162881468,14.100,1,14714228
2022,15,166042153,1.000,9,15156860
2022,7,162881165,5.000,9,14714137
2022,5,157410794,3.000,9,13980937
2022,12,160971732,28.480,1,14468693
2022,5,159823108,316.000,1,14309667
2022,12,158682244,1.050,1,14155044
2022,15,162881337,1.000,9,14714195
2022,5,162881416,8.180,1,14714213
2022,1,162881276,9.930,1,14714169
2022,5,160971659,7.530,1,14468681
2022,12,162881409,2.180,1,14714210
2022,12,162881335,0.490,1,14714193
2022,2,162881278,1.350,1,14714170
2022,4,158682181,0.430,1,14155027
2022,5,162881411,7.300,1,14714211
2022,4,166042146,0.400,1,15156855
2022,5,158682191,0.140,1,14155031
2022,12,166042057,0.740,1,15156811
2022,12,164371571,0.850,1,14922393
2022,12,166042209,15.460,1,15156889
2022,5,160971752,68.000,1,14468702
2022,8,164371549,1.000,9,14922384
2022,12,162881330,0.870,1,14714190
2022,4,162881509,0.440,1,14714239
2022,4,162881265,0.370,1,14714166
2022,12,166042055,46.000,1,15156810
2022,5,164371487,30.000,1,14922354
2022,5,162881160,2.550,1,14714133
2022,4,162881310,0.980,1,14714184
2022,5,158682193,4.130,1,14155032
2022,15,164371539,3.000,9,14922380
2022,12,166042234,0.500,1,15156904
2022,5,164371638,23.280,1,14922416
2022,12,162881462,15.280,1,14714226
2022,12,166042259,113.000,1,15156915
2022,12,159823045,0.180,1,14309648
